Verification log – 2026-08-09 20:26:29 UTC
Execution time: 36.4s
Total proxies tested: 253
Working proxies found: 190
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
2026-08-09T20:26:28.509135  vase-danlod.peachsoft.co.uk.:443 FAIL   -        eu
2026-08-09T20:26:28.518552  fleethop.online:443            FAIL   -        eu
2026-08-09T20:26:28.566738  195.254.165.253:25565          FAIL   -        eu
2026-08-09T20:26:28.584432  download-ir.fourie.co.uk.:443  FAIL   -        eu
2026-08-09T20:26:28.585108  downlod.forzajuve.co.uk.:8443  FAIL   -        eu
2026-08-09T20:26:28.585116  web.asiaadomainsshatelhamrahaval.co.uk.:443 FAIL   -        eu
2026-08-09T20:26:28.587940  bshejsjeiwi.co.uk:443          FAIL   -        eu
2026-08-09T20:26:28.617818  ad2.arixo.shop:443             FAIL   -        eu
2026-08-09T20:26:28.661164  94.130.191.27:8443             FAIL   -        eu
2026-08-09T20:26:28.664114  game.red-eyes.co.uk:443        FAIL   -        eu
2026-08-09T20:26:28.694087  vase-danlod.peachsoft.co.uk:443 FAIL   -        eu
2026-08-09T20:26:28.701025  ad4.fluxvpnguard.ru:443        FAIL   -        eu
2026-08-09T20:26:28.714669  195.254.165.247:25565          FAIL   -        eu
2026-08-09T20:26:28.762310  zomb0m.co.uk.:443              FAIL   -        eu
2026-08-09T20:26:28.764169  yektanet.iranbetter.site:8443  FAIL   -        eu
2026-08-09T20:26:28.821790  downlload.forzajuve.co.uk.:8443 FAIL   -        eu
2026-08-09T20:26:28.828037  live.best-proxy.ink:443        FAIL   -        eu
2026-08-09T20:26:28.953213  data.fast-proxy.ink:443        FAIL   -        eu
2026-08-09T20:26:29.072637  gw.medblock.ink:443            FAIL   -        eu
------------------------------------------------------------

Top 20 fastest proxies:
  198.199.120.58:443 | ping=0.012s | eu | 
  googel.alo-otp.info.:25565 | ping=0.019s | eu | dbiz ]cdn.yektanet.com
  jadid.zhigool.co.uk:25565 | ping=0.02s | eu | 
  blond.basicscotch.co.uk:25565 | ping=0.034s | eu | 
  iran.iranbetter.site:9443 | ping=0.089s | eu | [\oud_8s3.amazonaws.com
  download.lv426.co.uk:443 | ping=0.092s | eu | /web.bale.ai
  webhook.what-ever.co.uk:443 | ping=0.092s | eu | 
  webhook.vingardium.co.uk.:443 | ping=0.092s | eu | /web.bale.ai
  api.server2-5mk.info:443 | ping=0.093s | eu | 
  ftp.jinxandjack.co.uk.:443 | ping=0.093s | eu | /web.bale.ai
  sub.iran-tehran.co.uk:443 | ping=0.094s | eu | 
  server2.server2-5mk.info:443 | ping=0.095s | eu | 
  abcd.server2-5mk.info:443 | ping=0.095s | eu | 
  79.137.196.223:14443 | ping=0.096s | eu | (xgy6www.cloudflare.com
  ftp.jinxandjack.co.uk:443 | ping=0.096s | eu | /web.bale.ai
  for--you.server2-5mk.info:443 | ping=0.099s | eu | 
  digi.vafadari.co.uk:2096 | ping=0.099s | eu | 
  idiot.foltmeingop.co.uk:8880 | ping=0.102s | eu | 
  run.golgoli2.co.uk:2053 | ping=0.104s | eu | 
  server.nl-arvancloud.co.uk:443 | ping=0.104s | eu | 
